LOCATION,DATE,AWND,PRCP,TMAX,TMIN,TOBS,ADVERSE_CONDITIONS
"(40.89174, -74.39635)",2018-09-14,3.057142857142857,0.0,25.0,19.4,19.4,0
"(40.89174, -74.39635)",2018-09-15,1.6714285714285713,0.0,22.8,17.2,18.3,0
"(40.89174, -74.39635)",2018-09-16,1.4857142857142858,0.0,27.2,15.6,16.7,0
"(40.89174, -74.39635)",2018-09-17,2.4,0.0,30.0,16.7,16.7,0
"(40.89174, -74.39635)",2018-09-18,3.3375,13.2,25.6,16.7,23.3,0
"(40.89174, -74.39635)",2018-09-19,3.05,3.3,26.1,17.8,19.4,0
"(40.89174, -74.39635)",2018-09-20,2.5875,0.0,28.3,17.2,17.2,0
"(40.89174, -74.39635)",2018-09-21,4.1875,0.0,21.1,17.2,18.3,0
"(40.89174, -74.39635)",2018-09-22,4.0875,0.0,23.3,18.3,21.7,0
"(40.89174, -74.39635)",2018-09-23,2.375,0.0,21.7,12.8,13.9,0
"(40.89174, -74.39635)",2018-09-24,4.7875,0.0,18.3,13.9,17.2,0
"(40.89174, -74.39635)",2018-09-25,3.9250000000000003,4.3,19.4,11.1,17.2,0
"(40.89174, -74.39635)",2018-09-26,3.5500000000000003,61.7,19.4,11.7,19.4,0
"(40.89174, -74.39635)",2018-09-27,3.8,2.3,27.2,14.4,14.4,0
"(40.89174, -74.39635)",2018-09-28,3.2375000000000003,29.5,21.1,13.9,14.4,0
"(40.89174, -74.39635)",2018-09-29,2.3375,4.1,17.2,10.0,10.0,0
"(40.89174, -74.39635)",2018-09-30,2.15,0.0,22.2,8.9,8.9,0
"(40.89174, -74.39635)",2020-06-01,3.5428571428571423,0.0,20.0,8.9,9.4,0
"(40.89174, -74.39635)",2020-06-02,3.1000000000000005,0.0,21.1,8.9,10.0,0
"(40.89174, -74.39635)",2020-06-03,3.514285714285714,18.5,22.8,10.0,15.6,0
"(40.89174, -74.39635)",2020-06-04,2.814285714285714,5.1,26.1,15.6,16.7,0
"(40.89174, -74.39635)",2020-06-05,2.814285714285714,9.1,28.9,16.7,19.4,0
"(40.89174, -74.39635)",2020-06-06,3.6571428571428575,0.8,25.0,19.4,23.3,0
"(40.89174, -74.39635)",2020-06-07,4.871428571428572,0.0,30.6,16.1,17.8,0
"(40.89174, -74.39635)",2020-06-08,3.242857142857143,0.0,24.4,11.7,14.4,0
"(40.89174, -74.39635)",2020-06-09,3.4142857142857146,0.0,26.1,13.9,15.6,0
"(40.89174, -74.39635)",2020-06-10,4.228571428571429,0.0,31.1,15.6,20.0,0
"(40.89174, -74.39635)",2020-06-11,4.714285714285714,0.5,31.1,20.0,22.2,0
"(40.89174, -74.39635)",2020-06-12,3.3428571428571425,5.1,28.3,17.8,18.9,0
"(40.89174, -74.39635)",2020-06-13,4.4,0.0,28.3,12.8,13.3,0
"(40.89174, -74.39635)",2020-06-14,2.957142857142857,0.0,22.2,8.9,10.6,0
"(40.89174, -74.39635)",2020-06-15,2.885714285714286,0.0,22.8,10.0,11.7,0
"(40.89174, -74.39635)",2020-06-16,3.2714285714285714,0.0,23.9,10.6,12.2,0
"(40.89174, -74.39635)",2020-06-17,3.471428571428572,0.0,25.6,11.1,12.2,0
"(40.89174, -74.39635)",2020-06-18,2.8428571428571425,0.0,26.7,12.2,18.9,0
"(40.89174, -74.39635)",2020-06-19,2.5125,0.0,26.1,17.8,18.3,0
"(40.89174, -74.39635)",2020-06-20,2.2,0.0,28.9,12.8,17.8,0
"(40.89174, -74.39635)",2020-06-21,2.4,0.0,30.6,16.7,17.2,0
"(40.89174, -74.39635)",2020-06-22,3.0375,0.0,30.0,17.2,20.0,0
"(40.89174, -74.39635)",2020-06-23,3.4499999999999997,0.0,32.2,19.4,21.7,0
"(40.89174, -74.39635)",2020-06-24,3.9250000000000003,0.0,32.2,21.7,23.3,0
"(40.89174, -74.39635)",2020-06-25,2.65,0.0,28.9,18.9,20.0,0
"(40.89174, -74.39635)",2020-06-26,3.0375000000000005,0.0,29.4,15.6,18.3,0
"(40.89174, -74.39635)",2020-06-27,2.3375,0.0,30.6,15.6,20.0,0
"(40.89174, -74.39635)",2020-06-28,2.075,0.8,27.2,19.4,24.4,0
"(40.89174, -74.39635)",2020-06-29,3.3375,8.9,31.1,18.9,20.0,0
"(40.89174, -74.39635)",2020-06-30,2.425,0.0,30.0,16.1,18.3,0
"(40.89174, -74.39635)",2020-07-01,2.0375,0.0,26.1,17.2,18.3,0
"(40.89174, -74.39635)",2020-07-02,2.325,5.1,27.8,17.2,18.3,0
"(40.89174, -74.39635)",2020-07-03,2.7625,0.0,32.8,17.8,22.8,0
"(40.89174, -74.39635)",2020-07-04,2.9749999999999996,11.7,32.8,20.0,20.6,0
"(40.89174, -74.39635)",2020-07-05,2.4375,0.3,30.6,20.0,21.7,0
"(40.89174, -74.39635)",2020-07-06,2.65,0.0,33.9,18.9,23.3,0
"(40.89174, -74.39635)",2020-07-07,3.4375,0.0,34.4,20.6,21.1,0
"(40.89174, -74.39635)",2020-07-08,2.8499999999999996,0.0,28.9,21.1,23.3,0
"(40.89174, -74.39635)",2020-07-09,2.5,0.0,29.4,20.6,21.1,0
"(40.89174, -74.39635)",2020-07-10,5.487500000000001,0.0,32.2,20.6,23.3,0
"(40.89174, -74.39635)",2020-07-11,3.9499999999999993,80.5,25.0,21.7,22.2,0
"(40.89174, -74.39635)",2020-07-12,4.1125,4.3,30.6,21.7,22.2,0
"(40.89174, -74.39635)",2020-07-13,3.1625,2.0,31.1,20.0,20.6,0
"(40.89174, -74.39635)",2020-07-14,3.425,0.0,30.0,18.9,18.9,0
"(40.89174, -74.39635)",2020-07-15,3.3374999999999995,0.0,28.9,17.8,18.9,0
"(40.89174, -74.39635)",2020-07-16,3.9625,0.0,28.3,18.9,20.6,0
"(40.89174, -74.39635)",2020-07-17,2.7624999999999997,0.0,26.1,19.4,20.6,0
"(40.89174, -74.39635)",2020-07-18,1.8375,0.0,30.0,17.8,23.3,0
"(40.89174, -74.39635)",2020-07-19,3.6374999999999997,0.0,33.3,19.4,25.6,0
"(40.89174, -74.39635)",2020-07-20,3.2874999999999996,0.0,33.9,25.0,25.6,0
"(40.89174, -74.39635)",2020-07-21,2.3874999999999997,0.0,33.9,21.7,21.7,0
"(40.89174, -74.39635)",2020-07-22,2.5625,7.1,33.3,21.7,22.8,0
"(40.89174, -74.39635)",2020-07-23,3.4375,6.1,33.3,21.7,22.2,0
"(40.89174, -74.39635)",2020-07-24,2.125,11.4,31.7,22.2,22.8,0
"(40.89174, -74.39635)",2020-07-25,2.4125,0.0,26.7,18.9,21.1,0
"(40.89174, -74.39635)",2020-07-26,3.6125,0.0,31.7,21.1,21.7,0
"(40.89174, -74.39635)",2020-07-27,3.8375000000000004,0.0,33.3,20.0,20.6,0
"(40.89174, -74.39635)",2020-07-28,3.45,0.0,33.9,20.6,22.8,0
"(40.89174, -74.39635)",2020-07-29,2.4875,10.7,32.8,19.4,20.0,0
"(40.89174, -74.39635)",2020-07-30,2.45,0.0,32.2,20.0,20.6,0
"(40.89174, -74.39635)",2020-07-31,1.8250000000000002,10.9,32.8,20.6,21.1,0
"(40.89174, -74.39635)",2020-08-01,2.5124999999999997,1.3,28.3,17.8,18.3,0
"(40.89174, -74.39635)",2020-08-02,4.7625,0.5,32.8,18.3,23.3,0
"(40.89174, -74.39635)",2020-08-03,3.4624999999999995,2.0,32.8,23.3,23.9,0
"(40.89174, -74.39635)",2020-08-04,5.6499999999999995,20.8,31.1,21.1,21.1,0
"(40.89174, -74.39635)",2020-08-05,2.9000000000000004,38.9,25.6,18.9,20.6,0
"(40.89174, -74.39635)",2020-08-06,1.8625,0.0,30.0,17.2,17.2,0
"(40.89174, -74.39635)",2020-08-07,2.4875,8.4,27.2,17.2,17.8,0
