DATE,AWND,PRCP,TMAX,TMIN,TOBS,BEAUFORT_SCALE,PRCP_SCALE,MEAN_TEMP
2018-08-03,3.1125,9.303658536585365,30.51538461538462,22.907692307692308,24.56,Light Breeze,Slight,25.994358974358974
2018-08-04,2.85,18.308860759493673,30.699999999999996,22.491666666666664,23.3,Light Breeze,Slight,25.49722222222222
2018-08-05,1.8,11.74625,32.09166666666667,21.666666666666668,24.066666666666663,Light Breeze,Slight,25.941666666666666
2018-08-06,2.4,0.04155844155844156,33.63076923076923,23.03076923076923,23.1,Light Breeze,Slight,26.587179487179487
2018-08-07,3.3499999999999996,1.5242857142857142,32.76153846153846,22.815384615384612,23.880000000000003,Light Breeze,Slight,26.48564102564102
2018-08-08,2.3124999999999996,12.561904761904762,32.56153846153846,22.53076923076923,22.439999999999998,Light Breeze,Slight,25.84410256410256
2018-08-09,3.1125000000000003,8.162650602409638,31.96923076923077,22.457142857142856,23.133333333333336,Light Breeze,Slight,25.853235653235654
2018-08-10,2.0875,0.8094594594594594,31.085714285714285,20.185714285714283,20.166666666666668,Light Breeze,Slight,23.812698412698413
2018-08-11,2.1875,16.92676056338028,28.264285714285712,20.553846153846152,22.65,Light Breeze,Slight,23.82271062271062
2018-08-12,2.525,26.298750000000002,27.769230769230766,21.592307692307696,22.099999999999998,Light Breeze,Slight,23.820512820512818
2018-08-13,3.025,6.108108108108108,26.023076923076925,21.76153846153846,22.34,Light Breeze,Slight,23.374871794871794
2018-08-14,2.7,13.140506329113922,26.43571428571429,20.73076923076923,21.05,Light Breeze,Slight,22.73882783882784
2018-08-15,3.5124999999999997,4.894736842105263,30.25,20.728571428571428,21.116666666666664,Gentle Breeze,Slight,24.031746031746028
2018-08-16,2.7750000000000004,0.01125,31.77857142857143,22.264285714285716,22.583333333333332,Light Breeze,Slight,25.54206349206349
2018-08-17,3.1875,2.984,31.55,22.32857142857143,22.3,Light Breeze,Slight,25.392857142857142
2018-08-18,3.25,19.125316455696204,31.178571428571427,21.415384615384614,23.05,Light Breeze,Slight,25.214652014652014
2018-08-19,3.475,6.26375,26.03076923076923,19.684615384615384,19.7,Gentle Breeze,Slight,21.805128205128202
2018-08-20,2.625,1.7298701298701298,23.107692307692307,18.91428571428571,19.533333333333335,Light Breeze,Slight,20.518437118437117
2018-08-21,3.3249999999999997,0.5947368421052632,24.70714285714286,18.292857142857144,18.8,Light Breeze,Slight,20.599999999999998
2018-08-22,4.1125,12.263529411764708,27.514285714285716,20.25714285714286,21.483333333333334,Gentle Breeze,Slight,23.084920634920636
2018-08-23,3.724999999999999,1.11025641025641,27.228571428571424,18.135714285714283,18.766666666666666,Gentle Breeze,Slight,21.376984126984127
2018-08-24,1.9249999999999998,0.05405405405405406,27.135714285714283,15.900000000000002,15.383333333333331,Light Breeze,Slight,19.47301587301587
2018-08-25,1.9124999999999996,0.004054054054054054,26.538461538461537,16.757142857142856,17.625,Light Breeze,Slight,20.306868131868132
2018-08-26,3.0374999999999996,0.0,28.11538461538462,17.546153846153846,18.325000000000003,Light Breeze,Slight,21.328846153846158
2018-08-27,2.3375000000000004,0.0,30.55714285714286,20.684615384615388,20.666666666666668,Light Breeze,Slight,23.969474969474973
2018-08-28,3.1,0.0,33.292857142857144,22.928571428571427,23.7,Light Breeze,Slight,26.640476190476193
2018-08-29,3.3375000000000004,0.0,34.6,24.53571428571428,25.46666666666667,Light Breeze,Slight,28.200793650793653
2018-08-30,3.525,0.0,33.25714285714285,24.28571428571429,24.433333333333337,Gentle Breeze,Slight,27.325396825396826
2018-08-31,3.9749999999999996,0.9493670886075949,28.049999999999997,21.150000000000002,22.333333333333332,Gentle Breeze,Slight,23.844444444444445
2018-09-01,2.7875,4.264935064935065,25.130769230769236,19.77692307692308,20.0,Light Breeze,Slight,21.635897435897437
2018-09-02,2.0875000000000004,0.036231884057971016,26.72307692307692,18.135714285714286,18.625,Light Breeze,Slight,21.161263736263734
2018-09-03,2.5250000000000004,0.05822784810126582,30.723076923076924,21.66153846153846,24.174999999999997,Light Breeze,Slight,25.519871794871793
2018-09-04,2.2,0.05375,33.22142857142857,23.707692307692312,23.05,Light Breeze,Slight,26.659706959706963
2018-09-05,2.4375,0.007317073170731707,32.52666666666667,22.92666666666667,22.385714285714283,Light Breeze,Slight,25.946349206349208
2018-09-06,2.9375000000000004,1.2365853658536585,33.378571428571426,22.85714285714286,25.200000000000003,Light Breeze,Slight,27.145238095238096
2018-09-07,3.25,9.133720930232558,28.833333333333332,21.353333333333335,22.47142857142857,Light Breeze,Slight,24.21936507936508
2018-09-08,4.0,1.5826666666666667,22.74666666666667,17.192857142857143,19.46,Gentle Breeze,Slight,19.79984126984127
2018-09-09,4.1875,4.79125,18.37857142857143,13.257142857142858,14.120000000000001,Gentle Breeze,Slight,15.251904761904763
2018-09-10,4.8375,20.396470588235296,17.392307692307693,12.221428571428573,13.216666666666667,Gentle Breeze,Slight,14.276800976800978
2018-09-11,1.475,15.531818181818181,20.94666666666667,14.92666666666667,16.257142857142856,Light Air,Slight,17.376825396825396
2018-09-12,1.8249999999999997,2.863095238095238,24.220000000000006,19.040000000000003,20.32857142857143,Light Breeze,Slight,21.196190476190477
2018-09-13,3.3714285714285706,7.785365853658536,24.913333333333338,20.046666666666667,20.485714285714288,Light Breeze,Slight,21.8152380952381
2018-09-14,3.057142857142857,0.8455696202531645,24.106666666666666,19.40666666666667,19.457142857142856,Light Breeze,Slight,20.99015873015873
2018-09-15,1.6714285714285713,0.2662162162162162,24.853333333333335,18.214285714285715,18.2,Light Breeze,Slight,20.422539682539682
2018-09-16,1.4857142857142858,0.01232876712328767,27.785714285714285,17.507142857142856,17.22,Light Air,Slight,20.837619047619047
2018-09-17,2.4,0.17037037037037037,27.307692307692303,17.814285714285713,17.3,Light Breeze,Slight,20.807326007326008
2018-09-18,3.3375,6.546739130434782,25.933333333333334,19.157142857142855,21.485714285714284,Light Breeze,Slight,22.192063492063493
2018-09-19,3.0500000000000003,17.288372093023256,26.828571428571426,18.207142857142856,18.483333333333334,Light Breeze,Slight,21.17301587301587
2018-09-20,2.5875,0.20240963855421687,24.0,17.3,17.316666666666666,Light Breeze,Slight,19.538888888888888
2018-09-21,4.1875,0.04625,22.292857142857144,17.653333333333332,18.6,Gentle Breeze,Slight,19.515396825396827
2018-09-22,4.0875,0.028571428571428574,23.238461538461536,17.25384615384616,21.95,Gentle Breeze,Slight,20.814102564102566
2018-09-23,2.375,0.1986301369863014,20.553846153846152,15.046153846153848,15.700000000000001,Light Breeze,Slight,17.1
2018-09-24,4.7875,0.6882352941176471,19.485714285714284,13.335714285714285,14.516666666666666,Gentle Breeze,Slight,15.779365079365078
2018-09-25,3.9250000000000003,14.831395348837209,21.392857142857142,13.571428571428571,15.266666666666664,Gentle Breeze,Slight,16.743650793650794
2018-09-26,3.5500000000000007,43.992134831460675,25.36428571428571,17.47142857142857,21.366666666666664,Gentle Breeze,Slight,21.40079365079365
2018-09-27,3.8,3.9436781609195397,25.030769230769234,15.676923076923076,16.34,Gentle Breeze,Slight,19.01589743589744
2018-09-28,3.2375000000000007,29.211235955056182,19.642857142857142,13.407142857142857,15.349999999999998,Light Breeze,Slight,16.13333333333333
2018-09-29,2.3375,2.5443037974683542,21.23076923076923,12.138461538461538,11.95,Light Breeze,Slight,15.106410256410257
2018-09-30,2.15,0.014473684210526317,22.138461538461538,11.36923076923077,11.675,Light Breeze,Slight,15.060897435897436
2020-06-01,3.5428571428571423,0.0,21.464285714285715,9.128571428571428,10.816666666666668,Gentle Breeze,Slight,13.803174603174604
2020-06-02,3.1000000000000005,0.058024691358024696,22.607142857142858,11.578571428571427,13.983333333333334,Light Breeze,Slight,16.056349206349207
2020-06-03,3.514285714285714,11.020652173913044,25.442857142857143,14.72857142857143,17.049999999999997,Gentle Breeze,Slight,19.073809523809523
