STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-11,,,,,,,,,,,,,3.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,20.0,",,7",13.3,",,7",13.9,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-12,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,23.3,",,7",8.3,",,7",8.9,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-13,,,,,,,,,,,,,0.0,"T,,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,24.4,",,7",8.9,",,7",16.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-14,,,,,,,,,,,,,2.3,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,24.4,",,7",16.7,",,7",18.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-15,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.3,",,7",15.0,",,7",16.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-16,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,25.0,",,7",12.8,",,7",16.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-17,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.3,",,7",13.3,",,7",15.0,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-18,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,32.2,",,7",15.0,",,7",18.9,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-19,,,,,,,,,,,,,5.3,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,32.2,",,7",18.9,",,7",24.4,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-20,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",16.1,",,7",17.8,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-21,,,,,,,,,,,,,4.3,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",17.2,",,7",18.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-22,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,29.4,",,7",18.3,",,7",18.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-23,,,,,,,,,,,,,0.8,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,23.9,",,7",15.6,",,7",16.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-24,,,,,,,,,,,,,0.8,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,20.0,",,7",16.1,",,7",19.4,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-25,,,,,,,,,,,,,5.1,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.9,",,7",18.9,",,7",19.4,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-26,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,26.7,",,7",13.9,",,7",18.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-27,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,26.1,",,7",14.4,",,7",15.6,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-28,,,,,,,,,,,,,16.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,22.8,",,7",15.6,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-29,,,,,,,,,,,,,1.5,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",18.3,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-06-30,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,32.2,",,7",19.4,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-01,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,33.3,",,7",20.0,",,7",25.6,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-02,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,35.0,",,7",20.0,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-03,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,36.1,",,7",21.1,",,7",23.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-04,,,,,,,,,,,,,2.8,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,35.0,",,7",22.8,",,7",25.0,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-05,,,,,,,,,,,,,2.5,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,32.2,",,7",22.2,",,7",23.9,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-06,,,,,,,,,,,,,0.0,"T,,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,32.8,",,7",23.9,",,7",25.0,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-07,,,,,,,,,,,,,0.3,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.3,",,7",13.3,",,7",15.0,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-08,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,26.1,",,7",11.7,",,7",13.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-09,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,29.4,",,7",13.3,",,7",15.0,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-10,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,31.1,",,7",15.0,",,7",17.2,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-11,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,33.3,",,7",17.2,",,7",21.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-12,,,,,,,,,,,,,0.0,"T,,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",18.9,",,7",20.0,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-13,,,,,,,,,,,,,0.0,"T,,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,29.4,",,7",15.6,",,7",15.6,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-14,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,31.1,",,7",15.6,",,7",22.2,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-15,,,,,,,,,,,,,18.3,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,31.7,",,7",20.6,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-16,,,,,,,,,,,,,0.8,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.6,",,7",20.0,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-17,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,32.8,",,7",21.1,",,7",23.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-18,,,,,,,,,,,,,32.5,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,31.1,",,7",16.1,",,7",18.9,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-19,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.9,",,7",13.3,",,7",13.9,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-20,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.3,",,7",13.9,",,7",15.6,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-21,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",15.6,",,7",16.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-22,,,,,,,,,,,,,44.5,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,26.7,",,7",16.7,",,7",21.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-23,,,,,,,,,,,,,6.6,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.3,",,7",21.1,",,7",23.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-24,,,,,,,,,,,,,11.4,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.3,",,7",23.3,",,7",24.4,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-25,,,,,,,,,,,,,38.4,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",22.2,",,7",22.2,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-26,,,,,,,,,,,,,24.9,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,27.2,",,7",21.7,",,7",21.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-27,,,,,,,,,,,,,0.0,"T,,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,31.1,",,7",19.4,",,7",20.0,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-28,,,,,,,,,,,,,23.4,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",19.4,",,7",20.0,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-29,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,29.4,",,7",18.9,",,7",18.9,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-30,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,29.4,",,7",15.6,",,7",16.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-07-31,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,25.6,",,7",16.1,",,7",20.0,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-01,,,,,,,,,,,,,0.3,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.3,",,7",20.0,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-02,,,,,,,,,,,,,17.5,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",20.6,",,7",24.4,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-03,,,,,,,,,,,,,34.5,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",21.7,",,7",22.8,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-04,,,,,,,,,,,,,50.5,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.6,",,7",21.1,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-05,,,,,,,,,,,,,7.6,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.6,",,7",19.4,",,7",24.4,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-06,,,,,,,,,,,,,0.0,"T,,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,33.3,",,7",21.7,",,7",22.2,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-07,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,33.9,",,7",22.2,",,7",23.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-08,,,,,,,,,,,,,10.2,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,32.8,",,7",20.6,",,7",22.2,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-09,,,,,,,,,,,,,9.9,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,32.8,",,7",21.1,",,7",22.2,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-10,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.6,",,7",18.3,",,7",18.9,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-11,,,,,,,,,,,,,0.3,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.6,",,7",18.3,",,7",21.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-12,,,,,,,,,,,,,79.2,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,27.2,",,7",20.0,",,7",20.6,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-13,,,,,,,,,,,,,2.3,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,28.3,",,7",20.6,",,7",21.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-14,,,,,,,,,,,,,11.9,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,22.8,",,7",20.0,",,7",20.6,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-15,,,,,,,,,,,,,7.4,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,26.7,",,7",20.6,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-16,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,31.1,",,7",21.1,",,7",21.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-17,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,31.7,",,7",21.1,",,7",21.7,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-18,,,,,,,,,,,,,32.5,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,31.7,",,7",21.1,",,7",22.2,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-19,,,,,,,,,,,,,13.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,30.0,",,7",19.4,",,7",19.4,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-20,,,,,,,,,,,,,1.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,22.2,",,7",18.3,",,7",18.3,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-21,,,,,,,,,,,,,0.0,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,23.3,",,7",17.2,",,7",17.8,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2018-08-22,,,,,,,,,,,,,19.8,",,7,0700",,,0.0,",,7,0700",0.0,",,7,0700",,,25.6,",,7",17.8,",,7",21.1,",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
