LOCATION,STATION,NAME,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,ADVERSE_CONDITIONS
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-19,2.6125000000000003,,,,0.0,",,7,0700",,,28.9,",,7",13.3,",,7",13.9,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-20,2.5999999999999996,,,,0.0,",,7,0700",,,28.3,",,7",13.9,",,7",15.6,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-21,4.8625,,,,0.0,",,7,0700",,,30.0,",,7",15.6,",,7",16.7,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-22,6.1625000000000005,,,,44.5,",,7,0700",,,26.7,",,7",16.7,",,7",21.7,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-23,5.7875,,,,6.6,",,7,0700",,,28.3,",,7",21.1,",,7",23.3,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-24,6.000000000000001,,,,11.4,",,7,0700",,,28.3,",,7",23.3,",,7",24.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-25,4.8,,,,38.4,",,7,0700",,,30.0,",,7",22.2,",,7",22.2,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-26,2.8625,,,,24.9,",,7,0700",,,27.2,",,7",21.7,",,7",21.7,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-27,2.575,,,,0.0,"T,,7,0700",,,31.1,",,7",19.4,",,7",20.0,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-28,1.8375,,,,23.4,",,7,0700",,,30.0,",,7",19.4,",,7",20.0,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-07-29,2.8,,,,0.0,",,7,0700",,,29.4,",,7",18.9,",,7",18.9,",,7,0700",0
